Campaign budget analysis data export
"February 11, 2022 - November 10, 2025"
Campaign,Day,Campaign ID,Budget,Clicks,Impr.,Currency code,Cost,CTR,Avg. CPC,Conversions
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-09-29,19805351172,13000.00,43,315,INR,2573.16,13.65%,59.84,2.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-09-29,20039018782,6000.00,8,26,INR,204.77,30.77%,25.60,0.00
Shriram Hebbal Generic Search Campaign,2024-09-29,20980178071,10000.00,22,346,INR,520.41,6.36%,23.66,0.00
Inspira Tropical Garden Brand Keywords,2024-09-29,21015668604,8100.00,3,12,INR,11.12,25.00%,3.71,0.00
Shriram Hebbal - Brand Search,2024-09-29,21048683503,3000.00,15,46,INR,906.16,32.61%,60.41,0.00
Valmark Cityville Generic Search - 20 May 24,2024-09-29,21307500650,9200.00,8,107,INR,293.34,7.48%,36.67,0.00
Shriram Hebbal Fractional Investment,2024-09-29,21312513597,10000.00,110,"1,048",INR,6592.94,10.50%,59.94,2.50
Greeenesto Primus - Brand Campaign - 07June 24,2024-09-29,21367850110,7000.00,24,122,INR,1212.41,19.67%,50.52,0.00
Shriram Hebbal Fractional Investment  Trial 129,2024-09-29,21700403225,10000.00,54,564,INR,3311.86,9.57%,61.33,2.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-09-30,19805351172,13000.00,34,239,INR,2393.09,14.23%,70.38,0.75
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-09-30,20039018782,6000.00,11,25,INR,258.06,44.00%,23.46,0.00
Shriram Hebbal Generic Search Campaign,2024-09-30,20980178071,10000.00,13,230,INR,413.54,5.65%,31.81,0.00
Inspira Tropical Garden Brand Keywords,2024-09-30,21015668604,8100.00,1,11,INR,22.47,9.09%,22.47,0.00
Shriram Hebbal - Brand Search,2024-09-30,21048683503,3000.00,11,36,INR,433.02,30.56%,39.37,0.00
Valmark Cityville Generic Search - 20 May 24,2024-09-30,21307500650,9200.00,4,73,INR,168.28,5.48%,42.07,0.00
Shriram Hebbal Fractional Investment,2024-09-30,21312513597,10000.00,107,894,INR,6102.51,11.97%,57.03,5.50
Greeenesto Primus - Brand Campaign - 07June 24,2024-09-30,21367850110,7000.00,26,115,INR,1651.25,22.61%,63.51,0.00
Shriram Hebbal Fractional Investment  Trial 129,2024-09-30,21700403225,10000.00,59,904,INR,2627.22,6.53%,44.53,4.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-10-01,19805351172,13000.00,31,215,INR,1764.24,14.42%,56.91,1.25
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-10-01,20039018782,6000.00,8,45,INR,196.89,17.78%,24.61,0.00
Shriram Hebbal Generic Search Campaign,2024-10-01,20980178071,10000.00,10,184,INR,245.94,5.43%,24.59,0.00
Inspira Tropical Garden Brand Keywords,2024-10-01,21015668604,8100.00,1,9,INR,0.51,11.11%,0.51,0.00
Shriram Hebbal - Brand Search,2024-10-01,21048683503,3000.00,19,58,INR,888.49,32.76%,46.76,2.00
Valmark Cityville Generic Search - 20 May 24,2024-10-01,21307500650,9200.00,3,53,INR,96.85,5.66%,32.28,0.00
Shriram Hebbal Fractional Investment,2024-10-01,21312513597,10000.00,122,"1,210",INR,6933.96,10.08%,56.84,5.00
Greeenesto Primus - Brand Campaign - 07June 24,2024-10-01,21367850110,7000.00,21,92,INR,1037.58,22.83%,49.41,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-10-02,19805351172,13000.00,34,181,INR,2375.96,18.78%,69.88,2.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-10-02,20039018782,6000.00,8,38,INR,168.10,21.05%,21.01,0.00
Shriram Hebbal Generic Search Campaign,2024-10-02,20980178071,10000.00,22,201,INR,570.44,10.95%,25.93,0.00
Inspira Tropical Garden Brand Keywords,2024-10-02,21015668604,8100.00,2,10,INR,14.70,20.00%,7.35,0.00
Shriram Hebbal - Brand Search,2024-10-02,21048683503,3000.00,15,54,INR,667.99,27.78%,44.53,0.00
Valmark Cityville Generic Search - 20 May 24,2024-10-02,21307500650,9200.00,3,35,INR,93.25,8.57%,31.08,1.00
Shriram Hebbal Fractional Investment,2024-10-02,21312513597,10000.00,151,"1,041",INR,8270.86,14.51%,54.77,12.00
Greeenesto Primus - Brand Campaign - 07June 24,2024-10-02,21367850110,7000.00,22,104,INR,1224.04,21.15%,55.64,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-10-03,19805351172,13000.00,14,134,INR,963.52,10.45%,68.82,0.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-10-03,20039018782,6000.00,11,35,INR,228.26,31.43%,20.75,0.00
Shriram Hebbal Generic Search Campaign,2024-10-03,20980178071,10000.00,18,183,INR,611.80,9.84%,33.99,15.00
Inspira Tropical Garden Brand Keywords,2024-10-03,21015668604,8100.00,0,4,INR,0.00,0.00%,0,0.00
Shriram Hebbal - Brand Search,2024-10-03,21048683503,3000.00,14,33,INR,935.72,42.42%,66.84,0.00
Valmark Cityville Generic Search - 20 May 24,2024-10-03,21307500650,9200.00,1,29,INR,29.70,3.45%,29.70,0.00
Shriram Hebbal Fractional Investment,2024-10-03,21312513597,10000.00,119,"1,001",INR,6017.76,11.89%,50.57,10.00
Greeenesto Primus - Brand Campaign - 07June 24,2024-10-03,21367850110,7000.00,21,115,INR,829.28,18.26%,39.49,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-10-04,19805351172,13000.00,32,185,INR,2150.37,17.30%,67.20,9.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-10-04,20039018782,6000.00,5,24,INR,113.56,20.83%,22.71,0.00
Shriram Hebbal Generic Search Campaign,2024-10-04,20980178071,10000.00,18,244,INR,468.60,7.38%,26.03,1.00
Inspira Tropical Garden Brand Keywords,2024-10-04,21015668604,8100.00,8,26,INR,254.22,30.77%,31.78,0.00
Shriram Hebbal - Brand Search,2024-10-04,21048683503,3000.00,14,35,INR,937.10,40.00%,66.94,4.00
Valmark Cityville Generic Search - 20 May 24,2024-10-04,21307500650,9200.00,9,66,INR,403.51,13.64%,44.83,0.00
Shriram Hebbal Fractional Investment,2024-10-04,21312513597,10000.00,103,"1,173",INR,6336.68,8.78%,61.52,6.00
Greeenesto Primus - Brand Campaign - 07June 24,2024-10-04,21367850110,7000.00,20,96,INR,1263.59,20.83%,63.18,2.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-10-05,19805351172,13000.00,35,211,INR,2455.26,16.59%,70.15,8.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-10-05,20039018782,6000.00,3,31,INR,56.87,9.68%,18.96,0.00
Shriram Hebbal Generic Search Campaign,2024-10-05,20980178071,10000.00,20,367,INR,466.68,5.45%,23.33,0.00
Inspira Tropical Garden Brand Keywords,2024-10-05,21015668604,8100.00,5,29,INR,54.72,17.24%,10.94,0.00
Shriram Hebbal - Brand Search,2024-10-05,21048683503,3000.00,13,50,INR,1280.66,26.00%,98.51,1.00
Valmark Cityville Generic Search - 20 May 24,2024-10-05,21307500650,9200.00,19,161,INR,735.93,11.80%,38.73,3.00
Shriram Hebbal Fractional Investment,2024-10-05,21312513597,10000.00,140,"1,247",INR,9139.31,11.23%,65.28,19.67
Greeenesto Primus - Brand Campaign - 07June 24,2024-10-05,21367850110,7000.00,24,93,INR,1292.97,25.81%,53.87,3.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-10-06,19805351172,13000.00,40,279,INR,2924.06,14.34%,73.10,3.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-10-06,20039018782,6000.00,10,32,INR,168.81,31.25%,16.88,2.00
Shriram Hebbal Generic Search Campaign,2024-10-06,20980178071,10000.00,37,501,INR,871.66,7.39%,23.56,2.00
Inspira Tropical Garden Brand Keywords,2024-10-06,21015668604,8100.00,5,14,INR,74.20,35.71%,14.84,0.00
Shriram Hebbal - Brand Search,2024-10-06,21048683503,3000.00,8,31,INR,543.47,25.81%,67.93,1.00
Valmark Cityville Generic Search - 20 May 24,2024-10-06,21307500650,9200.00,12,120,INR,358.91,10.00%,29.91,2.00
Shriram Hebbal Fractional Investment,2024-10-06,21312513597,10000.00,183,"1,671",INR,13637.02,10.95%,74.52,9.33
Greeenesto Primus - Brand Campaign - 07June 24,2024-10-06,21367850110,7000.00,22,89,INR,1312.81,24.72%,59.67,1.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-10-07,19805351172,13000.00,33,240,INR,2530.08,13.75%,76.67,3.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-10-07,20039018782,6000.00,3,20,INR,24.27,15.00%,8.09,0.00
Shriram Hebbal Generic Search Campaign,2024-10-07,20980178071,10000.00,34,548,INR,1708.95,6.20%,50.26,4.00
Inspira Tropical Garden Brand Keywords,2024-10-07,21015668604,8100.00,1,14,INR,56.53,7.14%,56.53,0.00
Shriram Hebbal - Brand Search,2024-10-07,21048683503,3000.00,16,41,INR,1186.11,39.02%,74.13,1.00
Valmark Cityville Generic Search - 20 May 24,2024-10-07,21307500650,9200.00,103,"1,424",INR,5856.27,7.23%,56.86,2.00
Shriram Hebbal Fractional Investment,2024-10-07,21312513597,10000.00,195,"1,912",INR,18675.61,10.20%,95.77,11.00
Greeenesto Primus - Brand Campaign - 07June 24,2024-10-07,21367850110,7000.00,25,104,INR,1518.41,24.04%,60.74,1.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-10-08,19805351172,13000.00,40,274,INR,3027.86,14.60%,75.70,1.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-10-08,20039018782,6000.00,11,34,INR,210.61,32.35%,19.15,1.00
Shriram Hebbal Generic Search Campaign,2024-10-08,20980178071,10000.00,39,579,INR,1699.19,6.74%,43.57,2.00
Inspira Tropical Garden Brand Keywords,2024-10-08,21015668604,8100.00,8,18,INR,155.44,44.44%,19.43,0.00
Shriram Hebbal - Brand Search,2024-10-08,21048683503,3000.00,10,51,INR,508.24,19.61%,50.82,1.00
Valmark Cityville Generic Search - 20 May 24,2024-10-08,21307500650,9200.00,101,"1,142",INR,5826.06,8.84%,57.68,5.00
Shriram Hebbal Fractional Investment,2024-10-08,21312513597,10000.00,138,"1,574",INR,12282.56,8.77%,89.00,3.00
Greeenesto Primus - Brand Campaign - 07June 24,2024-10-08,21367850110,7000.00,29,145,INR,1645.04,20.00%,56.73,2.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-10-09,19805351172,13000.00,45,272,INR,3906.96,16.54%,86.82,12.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-10-09,20039018782,6000.00,12,29,INR,280.63,41.38%,23.39,0.00
Shriram Hebbal Generic Search Campaign,2024-10-09,20980178071,10000.00,43,571,INR,1484.78,7.53%,34.53,5.00
Inspira Tropical Garden Brand Keywords,2024-10-09,21015668604,8100.00,0,7,INR,0.00,0.00%,0,0.00
Shriram Hebbal - Brand Search,2024-10-09,21048683503,3000.00,11,34,INR,1249.12,32.35%,113.56,1.00
Valmark Cityville Generic Search - 20 May 24,2024-10-09,21307500650,9200.00,2,50,INR,132.33,4.00%,66.17,0.00
Shriram Hebbal Fractional Investment,2024-10-09,21312513597,10000.00,158,"1,617",INR,13383.78,9.77%,84.71,3.00
Greeenesto Primus - Brand Campaign - 07June 24,2024-10-09,21367850110,7000.00,23,88,INR,1101.19,26.14%,47.88,3.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-10-10,19805351172,13000.00,31,259,INR,3280.71,11.97%,105.83,20.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-10-10,20039018782,6000.00,4,27,INR,94.66,14.81%,23.67,0.00
Shriram Hebbal Generic Search Campaign,2024-10-10,20980178071,10000.00,24,481,INR,1018.89,4.99%,42.45,1.00
Inspira Tropical Garden Brand Keywords,2024-10-10,21015668604,8100.00,0,10,INR,0.00,0.00%,0,0.00
Shriram Hebbal - Brand Search,2024-10-10,21048683503,3000.00,7,42,INR,1101.06,16.67%,157.29,0.00
Valmark Cityville Generic Search - 20 May 24,2024-10-10,21307500650,9200.00,5,22,INR,276.96,22.73%,55.39,0.00
Shriram Hebbal Fractional Investment,2024-10-10,21312513597,10000.00,148,"1,402",INR,12583.30,10.56%,85.02,2.00
Greeenesto Primus - Brand Campaign - 07June 24,2024-10-10,21367850110,7000.00,10,53,INR,410.36,18.87%,41.04,1.00
Primus - 19 Aug 24 - Generic Search,2024-10-10,21605458993,2000.00,0,4,INR,0.00,0.00%,0,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-10-11,19805351172,13000.00,34,283,INR,2759.95,12.01%,81.17,5.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-10-11,20039018782,6000.00,1,21,INR,24.30,4.76%,24.30,0.00
Shriram Hebbal Generic Search Campaign,2024-10-11,20980178071,10000.00,29,462,INR,1239.68,6.28%,42.75,0.00
Inspira Tropical Garden Brand Keywords,2024-10-11,21015668604,8100.00,2,10,INR,27.02,20.00%,13.51,0.00
Shriram Hebbal - Brand Search,2024-10-11,21048683503,3000.00,17,36,INR,1802.40,47.22%,106.02,1.00
Valmark Cityville Generic Search - 20 May 24,2024-10-11,21307500650,9200.00,4,39,INR,217.48,10.26%,54.37,0.00
Shriram Hebbal Fractional Investment,2024-10-11,21312513597,10000.00,118,"1,365",INR,10350.52,8.64%,87.72,4.00
Greeenesto Primus - Brand Campaign - 07June 24,2024-10-11,21367850110,7000.00,10,64,INR,457.15,15.63%,45.72,0.00
Primus - 19 Aug 24 - Generic Search,2024-10-11,21605458993,2000.00,12,52,INR,9994.10,23.08%,832.84,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-10-12,19805351172,13000.00,53,330,INR,8273.33,16.06%,156.10,8.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-10-12,20039018782,6000.00,3,28,INR,88.86,10.71%,29.62,0.00
Shriram Hebbal Generic Search Campaign,2024-10-12,20980178071,10000.00,37,589,INR,1586.04,6.28%,42.87,1.00
Inspira Tropical Garden Brand Keywords,2024-10-12,21015668604,8100.00,2,12,INR,17.88,16.67%,8.94,0.00
Shriram Hebbal - Brand Search,2024-10-12,21048683503,3000.00,18,50,INR,1352.53,36.00%,75.14,0.00
Valmark Cityville Generic Search - 20 May 24,2024-10-12,21307500650,9200.00,19,125,INR,941.48,15.20%,49.55,3.00
Shriram Hebbal Fractional Investment,2024-10-12,21312513597,10000.00,181,"1,582",INR,16555.99,11.44%,91.47,5.50
Greeenesto Primus - Brand Campaign - 07June 24,2024-10-12,21367850110,7000.00,33,106,INR,2185.36,31.13%,66.22,0.00
Primus - 19 Aug 24 - Generic Search,2024-10-12,21605458993,2000.00,9,132,INR,6047.18,6.82%,671.91,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-10-13,19805351172,13000.00,45,328,INR,9599.91,13.72%,213.33,15.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-10-13,20039018782,6000.00,9,41,INR,238.27,21.95%,26.47,1.00
Shriram Hebbal Generic Search Campaign,2024-10-13,20980178071,10000.00,48,763,INR,1799.01,6.29%,37.48,6.00
Inspira Tropical Garden Brand Keywords,2024-10-13,21015668604,8100.00,5,12,INR,116.34,41.67%,23.27,0.00
Shriram Hebbal - Brand Search,2024-10-13,21048683503,3000.00,17,52,INR,1784.31,32.69%,104.96,1.50
Valmark Cityville Generic Search - 20 May 24,2024-10-13,21307500650,9200.00,31,293,INR,2165.86,10.58%,69.87,5.00
Shriram Hebbal Fractional Investment,2024-10-13,21312513597,10000.00,157,"1,850",INR,11906.63,8.49%,75.84,8.00
Greeenesto Primus - Brand Campaign - 07June 24,2024-10-13,21367850110,7000.00,29,102,INR,1569.27,28.43%,54.11,0.00
Primus - 19 Aug 24 - Generic Search,2024-10-13,21605458993,2000.00,12,99,INR,5081.10,12.12%,423.43,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-10-14,19805351172,13000.00,69,479,INR,9596.53,14.41%,139.08,9.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-10-14,20039018782,6000.00,10,27,INR,254.17,37.04%,25.42,0.00
Shriram Hebbal Generic Search Campaign,2024-10-14,20980178071,10000.00,40,727,INR,1876.67,5.50%,46.92,3.00
Inspira Tropical Garden Brand Keywords,2024-10-14,21015668604,8100.00,3,11,INR,84.41,27.27%,28.14,0.00
Shriram Hebbal - Brand Search,2024-10-14,21048683503,3000.00,23,59,INR,2280.75,38.98%,99.16,3.00
Valmark Cityville Generic Search - 20 May 24,2024-10-14,21307500650,9200.00,39,329,INR,2724.89,11.85%,69.87,0.00
Shriram Hebbal Fractional Investment,2024-10-14,21312513597,10000.00,166,"1,757",INR,12196.45,9.45%,73.47,1.00
Greeenesto Primus - Brand Campaign - 07June 24,2024-10-14,21367850110,7000.00,35,171,INR,1697.58,20.47%,48.50,0.00
Primus - 19 Aug 24 - Generic Search,2024-10-14,21605458993,2000.00,18,183,INR,5200.17,9.84%,288.90,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-10-15,19805351172,13000.00,58,358,INR,9595.08,16.20%,165.43,4.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-10-15,20039018782,6000.00,4,31,INR,69.92,12.90%,17.48,0.00
Shriram Hebbal Generic Search Campaign,2024-10-15,20980178071,10000.00,45,722,INR,1670.77,6.23%,37.13,1.00
Inspira Tropical Garden Brand Keywords,2024-10-15,21015668604,8100.00,5,29,INR,113.13,17.24%,22.63,0.00
Shriram Hebbal - Brand Search,2024-10-15,21048683503,3000.00,11,23,INR,1110.61,47.83%,100.96,1.00
Valmark Cityville Generic Search - 20 May 24,2024-10-15,21307500650,9200.00,35,274,INR,2653.09,12.77%,75.80,0.00
Shriram Hebbal Fractional Investment,2024-10-15,21312513597,10000.00,53,542,INR,4248.38,9.78%,80.16,0.00
Greeenesto Primus - Brand Campaign - 07June 24,2024-10-15,21367850110,7000.00,16,86,INR,520.17,18.60%,32.51,0.00
Primus - 19 Aug 24 - Generic Search,2024-10-15,21605458993,2000.00,9,119,INR,4701.34,7.56%,522.37,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-10-16,19805351172,13000.00,39,340,INR,9589.32,11.47%,245.88,5.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-10-16,20039018782,6000.00,4,23,INR,81.59,17.39%,20.40,1.00
Shriram Hebbal Generic Search Campaign,2024-10-16,20980178071,10000.00,62,836,INR,2459.81,7.42%,39.67,4.00
Inspira Tropical Garden Brand Keywords,2024-10-16,21015668604,8100.00,4,9,INR,55.77,44.44%,13.94,0.00
Shriram Hebbal - Brand Search,2024-10-16,21048683503,3000.00,6,26,INR,538.46,23.08%,89.74,0.00
Valmark Cityville Generic Search - 20 May 24,2024-10-16,21307500650,9200.00,41,375,INR,3593.79,10.93%,87.65,4.00
Greeenesto Primus - Brand Campaign - 07June 24,2024-10-16,21367850110,7000.00,13,50,INR,330.31,26.00%,25.41,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-10-17,19805351172,13000.00,56,354,INR,7505.71,15.82%,134.03,7.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-10-17,20039018782,6000.00,5,26,INR,181.31,19.23%,36.26,0.00
Shriram Hebbal Generic Search Campaign,2024-10-17,20980178071,10000.00,46,744,INR,1765.96,6.18%,38.39,2.00
Inspira Tropical Garden Brand Keywords,2024-10-17,21015668604,8100.00,5,18,INR,74.55,27.78%,14.91,0.00
Shriram Hebbal - Brand Search,2024-10-17,21048683503,3000.00,11,32,INR,1184.20,34.38%,107.65,1.00
Valmark Cityville Generic Search - 20 May 24,2024-10-17,21307500650,9200.00,33,272,INR,2759.74,12.13%,83.63,3.00
Greeenesto Primus - Brand Campaign - 07June 24,2024-10-17,21367850110,7000.00,17,68,INR,299.57,25.00%,17.62,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-10-18,19805351172,13000.00,40,254,INR,5883.07,15.75%,147.08,7.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-10-18,20039018782,6000.00,6,27,INR,360.01,22.22%,60.00,0.00
Shriram Hebbal Generic Search Campaign,2024-10-18,20980178071,10000.00,39,582,INR,1162.23,6.70%,29.80,3.00
Inspira Tropical Garden Brand Keywords,2024-10-18,21015668604,8100.00,1,6,INR,10.41,16.67%,10.41,0.00
Shriram Hebbal - Brand Search,2024-10-18,21048683503,3000.00,11,37,INR,829.66,29.73%,75.42,0.00
Valmark Cityville Generic Search - 20 May 24,2024-10-18,21307500650,9200.00,24,173,INR,1146.04,13.87%,47.75,0.00
Greeenesto Primus - Brand Campaign - 07June 24,2024-10-18,21367850110,7000.00,10,36,INR,241.21,27.78%,24.12,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-10-19,19805351172,13000.00,43,264,INR,5682.22,16.29%,132.14,8.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-10-19,20039018782,6000.00,2,43,INR,100.10,4.65%,50.05,0.00
Shriram Hebbal Generic Search Campaign,2024-10-19,20980178071,10000.00,57,639,INR,1780.76,8.92%,31.24,3.00
Inspira Tropical Garden Brand Keywords,2024-10-19,21015668604,8100.00,6,25,INR,157.95,24.00%,26.33,0.00
Shriram Hebbal - Brand Search,2024-10-19,21048683503,3000.00,18,35,INR,1253.98,51.43%,69.67,1.00
Valmark Cityville Generic Search - 20 May 24,2024-10-19,21307500650,9200.00,40,251,INR,2418.24,15.94%,60.46,3.00
Greeenesto Primus - Brand Campaign - 07June 24,2024-10-19,21367850110,7000.00,10,42,INR,183.90,23.81%,18.39,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-10-20,19805351172,13000.00,33,229,INR,5056.27,14.41%,153.22,3.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-10-20,20039018782,6000.00,11,52,INR,776.81,21.15%,70.62,0.00
Shriram Hebbal Generic Search Campaign,2024-10-20,20980178071,10000.00,61,836,INR,2488.00,7.30%,40.79,32.50
Inspira Tropical Garden Brand Keywords,2024-10-20,21015668604,8100.00,4,26,INR,50.87,15.38%,12.72,0.00
Shriram Hebbal - Brand Search,2024-10-20,21048683503,3000.00,12,31,INR,969.30,38.71%,80.78,2.00
Valmark Cityville Generic Search - 20 May 24,2024-10-20,21307500650,9200.00,25,287,INR,1800.38,8.71%,72.02,2.00
Greeenesto Primus - Brand Campaign - 07June 24,2024-10-20,21367850110,7000.00,6,38,INR,93.05,15.79%,15.51,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-10-21,19805351172,13000.00,37,203,INR,4430.36,18.23%,119.74,4.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-10-21,20039018782,6000.00,12,45,INR,562.38,26.67%,46.87,1.00
Shriram Hebbal Generic Search Campaign,2024-10-21,20980178071,10000.00,52,828,INR,2210.63,6.28%,42.51,4.00
Inspira Tropical Garden Brand Keywords,2024-10-21,21015668604,8100.00,6,18,INR,278.63,33.33%,46.44,0.00
Shriram Hebbal - Brand Search,2024-10-21,21048683503,3000.00,9,27,INR,793.74,33.33%,88.19,0.50
Valmark Cityville Generic Search - 20 May 24,2024-10-21,21307500650,9200.00,58,448,INR,4979.20,12.95%,85.85,6.00
Greeenesto Primus - Brand Campaign - 07June 24,2024-10-21,21367850110,7000.00,4,49,INR,41.36,8.16%,10.34,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-10-22,19805351172,13000.00,37,202,INR,4735.83,18.32%,128.00,10.50
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-10-22,20039018782,6000.00,11,40,INR,344.55,27.50%,31.32,2.00
Shriram Hebbal Generic Search Campaign,2024-10-22,20980178071,10000.00,37,524,INR,1152.01,7.06%,31.14,0.00
Inspira Tropical Garden Brand Keywords,2024-10-22,21015668604,8100.00,4,22,INR,150.90,18.18%,37.73,0.00
Shriram Hebbal - Brand Search,2024-10-22,21048683503,3000.00,11,21,INR,742.07,52.38%,67.46,2.00
Valmark Cityville Generic Search - 20 May 24,2024-10-22,21307500650,9200.00,50,311,INR,3388.02,16.08%,67.76,10.50
Greeenesto Primus - Brand Campaign - 07June 24,2024-10-22,21367850110,7000.00,5,41,INR,54.37,12.20%,10.87,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-10-23,19805351172,13000.00,34,145,INR,5327.18,23.45%,156.68,4.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-10-23,20039018782,6000.00,7,29,INR,232.67,24.14%,33.24,4.00
Shriram Hebbal Generic Search Campaign,2024-10-23,20980178071,10000.00,29,503,INR,906.78,5.77%,31.27,2.00
Inspira Tropical Garden Brand Keywords,2024-10-23,21015668604,8100.00,1,24,INR,24.95,4.17%,24.95,0.00
Shriram Hebbal - Brand Search,2024-10-23,21048683503,3000.00,14,46,INR,992.07,30.43%,70.86,4.00
Valmark Cityville Generic Search - 20 May 24,2024-10-23,21307500650,9200.00,45,276,INR,2790.72,16.30%,62.02,8.00
Greeenesto Primus - Brand Campaign - 07June 24,2024-10-23,21367850110,7000.00,8,37,INR,102.51,21.62%,12.81,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-10-24,19805351172,13000.00,32,219,INR,4268.59,14.61%,133.39,3.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-10-24,20039018782,6000.00,6,32,INR,285.32,18.75%,47.55,0.00
Shriram Hebbal Generic Search Campaign,2024-10-24,20980178071,10000.00,28,504,INR,817.09,5.56%,29.18,1.00
Inspira Tropical Garden Brand Keywords,2024-10-24,21015668604,8100.00,8,24,INR,206.38,33.33%,25.80,0.00
Shriram Hebbal - Brand Search,2024-10-24,21048683503,3000.00,20,86,INR,1106.43,23.26%,55.32,0.00
Valmark Cityville Generic Search - 20 May 24,2024-10-24,21307500650,9200.00,53,344,INR,3060.28,15.41%,57.74,7.00
Greeenesto Primus - Brand Campaign - 07June 24,2024-10-24,21367850110,7000.00,6,38,INR,75.55,15.79%,12.59,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-10-25,19805351172,13000.00,20,164,INR,2909.24,12.20%,145.46,0.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-10-25,20039018782,6000.00,5,27,INR,341.55,18.52%,68.31,0.00
Shriram Hebbal Generic Search Campaign,2024-10-25,20980178071,10000.00,39,447,INR,1641.98,8.72%,42.10,6.50
Inspira Tropical Garden Brand Keywords,2024-10-25,21015668604,8100.00,4,25,INR,63.98,16.00%,16.00,0.00
Shriram Hebbal - Brand Search,2024-10-25,21048683503,3000.00,10,53,INR,734.62,18.87%,73.46,1.28
Valmark Cityville Generic Search - 20 May 24,2024-10-25,21307500650,9200.00,61,486,INR,5287.98,12.55%,86.69,9.00
Greeenesto Primus - Brand Campaign - 07June 24,2024-10-25,21367850110,7000.00,17,44,INR,148.19,38.64%,8.72,0.00
Primus - 19 Aug 24 - Generic Search,2024-10-25,21605458993,2000.00,1,5,INR,222.20,20.00%,222.20,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-10-26,19805351172,13000.00,19,138,INR,2760.42,13.77%,145.29,0.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-10-26,20039018782,6000.00,18,66,INR,1622.28,27.27%,90.13,1.00
Shriram Hebbal Generic Search Campaign,2024-10-26,20980178071,10000.00,66,562,INR,3105.44,11.74%,47.05,9.00
Inspira Tropical Garden Brand Keywords,2024-10-26,21015668604,8100.00,2,20,INR,50.95,10.00%,25.48,0.00
Shriram Hebbal - Brand Search,2024-10-26,21048683503,3000.00,29,89,INR,2087.09,32.58%,71.97,5.85
Valmark Cityville Generic Search - 20 May 24,2024-10-26,21307500650,9200.00,105,624,INR,9377.76,16.83%,89.31,14.00
